Generating 232 rejected responses from 72b (~/models/Qwen2.5-72B-Instruct-HF-mlx/)
Output: /Users/barakwater/Downloads/Claude Memory/lora_training_data/dpo/rejected_72b.jsonl

  [1/232] Generating... done (9s, 30 words)
  [2/232] Generating... done (14s, 73 words)
  [3/232] Generating... done (12s, 61 words)
  [4/232] Generating... done (21s, 136 words)
  [5/232] Generating... done (43s, 283 words)
  [6/232] Generating... done (13s, 72 words)
  [7/232] Generating... done (30s, 212 words)
  [8/232] Generating... done (12s, 63 words)
  [9/232] Generating... done (7s, 13 words)
  [10/232] Generating... done (9s, 40 words)
  [11/232] Generating... done (21s, 144 words)
  [12/232] Generating... done (11s, 47 words)
  [13/232] Generating... done (9s, 37 words)
  [14/232] Generating... done (15s, 90 words)
  [15/232] Generating... done (12s, 68 words)
  [16/232] Generating... done (13s, 77 words)
  [17/232] Generating... done (21s, 129 words)
  [18/232] Generating... done (14s, 73 words)
  [19/232] Generating... done (25s, 165 words)
  [20/232] Generating... done (13s, 67 words)
  [21/232] Generating... done (14s, 74 words)
  [22/232] Generating... done (20s, 98 words)
  [23/232] Generating... done (21s, 73 words)
  [24/232] Generating... done (39s, 218 words)
  [25/232] Generating... done (18s, 109 words)
  [26/232] Generating... done (24s, 163 words)
  [27/232] Generating... done (37s, 255 words)
  [28/232] Generating... done (20s, 105 words)
  [29/232] Generating... done (19s, 115 words)
  [30/232] Generating... done (22s, 122 words)
  [31/232] Generating... done (18s, 98 words)
  [32/232] Generating... done (18s, 93 words)
  [33/232] Generating... done (39s, 250 words)
  [34/232] Generating... done (16s, 85 words)
  [35/232] Generating... done (39s, 250 words)
  [36/232] Generating... done (15s, 78 words)
  [37/232] Generating... done (14s, 75 words)
  [38/232] Generating... done (22s, 126 words)
  [39/232] Generating... done (18s, 110 words)
  [40/232] Generating... done (38s, 243 words)
  [41/232] Generating... done (23s, 135 words)
  [42/232] Generating... done (13s, 72 words)
  [43/232] Generating... done (28s, 190 words)
  [44/232] Generating... done (22s, 140 words)
  [45/232] Generating... done (44s, 290 words)
  [46/232] Generating... done (30s, 198 words)
  [47/232] Generating... done (15s, 80 words)
  [48/232] Generating... done (13s, 61 words)
  [49/232] Generating... done (33s, 234 words)
  [50/232] Generating... done (15s, 73 words)
  [51/232] Generating... done (14s, 69 words)
  [52/232] Generating... done (49s, 326 words)
  [53/232] Generating... done (50s, 322 words)
  [54/232] Generating... done (42s, 291 words)
  [55/232] Generating... done (35s, 211 words)
  [56/232] Generating... done (22s, 121 words)
  [57/232] Generating... done (13s, 60 words)
  [58/232] Generating... done (15s, 70 words)
  [59/232] Generating... done (17s, 84 words)
  [60/232] Generating... done (14s, 71 words)
  [61/232] Generating... done (31s, 208 words)
  [62/232] Generating... done (14s, 69 words)
  [63/232] Generating... done (18s, 99 words)
  [64/232] Generating... done (40s, 270 words)
  [65/232] Generating... done (13s, 62 words)
  [66/232] Generating... done (15s, 80 words)
  [67/232] Generating... done (51s, 319 words)
  [68/232] Generating... done (9s, 36 words)
  [69/232] Generating... done (14s, 62 words)
  [70/232] Generating... done (47s, 293 words)
  [71/232] Generating... done (51s, 294 words)
  [72/232] Generating... done (7s, 16 words)
  [73/232] Generating... done (26s, 156 words)
  [74/232] Generating... done (10s, 43 words)
  [75/232] Generating... done (18s, 101 words)
  [76/232] Generating... done (12s, 53 words)
  [77/232] Generating... done (13s, 64 words)
  [78/232] Generating... done (16s, 84 words)
  [79/232] Generating... done (26s, 157 words)
  [80/232] Generating... done (16s, 82 words)
  [81/232] Generating... done (26s, 163 words)
  [82/232] Generating... done (18s, 97 words)
  [83/232] Generating... done (22s, 132 words)
  [84/232] Generating... done (49s, 322 words)
  [85/232] Generating... done (10s, 40 words)
  [86/232] Generating... done (24s, 138 words)
  [87/232] Generating... done (13s, 67 words)
  [88/232] Generating... done (11s, 45 words)
  [89/232] Generating... done (18s, 88 words)
  [90/232] Generating... done (24s, 141 words)
  [91/232] Generating... done (22s, 121 words)
  [92/232] Generating... done (19s, 109 words)
  [93/232] Generating... done (10s, 43 words)
  [94/232] Generating... done (21s, 118 words)
  [95/232] Generating... done (49s, 319 words)
  [96/232] Generating... done (19s, 104 words)
  [97/232] Generating... done (11s, 48 words)
  [98/232] Generating... done (45s, 275 words)
  [99/232] Generating... done (13s, 69 words)
  [100/232] Generating... done (40s, 268 words)
  [101/232] Generating... done (12s, 52 words)
  [102/232] Generating... done (37s, 240 words)
  [103/232] Generating... done (10s, 40 words)
  [104/232] Generating... done (15s, 79 words)
  [105/232] Generating... done (36s, 210 words)
  [106/232] Generating... done (18s, 84 words)
  [107/232] Generating... done (48s, 322 words)
  [108/232] Generating... done (12s, 60 words)
  [109/232] Generating... done (21s, 113 words)
  [110/232] Generating... done (15s, 70 words)
  [111/232] Generating... done (19s, 105 words)
  [112/232] Generating... done (45s, 312 words)
  [113/232] Generating... done (41s, 261 words)
  [114/232] Generating... done (15s, 71 words)
  [115/232] Generating... done (14s, 62 words)
  [116/232] Generating... done (18s, 92 words)
  [117/232] Generating... done (15s, 75 words)
  [118/232] Generating... done (25s, 134 words)
  [119/232] Generating... done (25s, 135 words)
  [120/232] Generating... done (22s, 124 words)
  [121/232] Generating... done (23s, 127 words)
  [122/232] Generating... done (24s, 135 words)
  [123/232] Generating... done (16s, 87 words)
  [124/232] Generating... done (16s, 80 words)
  [125/232] Generating... done (44s, 293 words)
